TeamID;ShortText;Promotion;InitialELO
190;AUE;0;1133
168;B04;0;1765
9325;BAY;0;987
163;BMG;0;1646
176;BOC;0;1546
162;BRE;0;1547
159;BSC;0;1510
165;BVB;0;1885
181;D98;0;1521
9367;DO2;-50;1138
188;DSC;0;1412
744;EBS;0;1313
1660;ELV;0;1226
158;F95;0;1471
170;FCA;0;1560
157;FCB;0;1945
184;FCI;0;1154
745;FCK;0;1355
179;FCM;0;1351
171;FCN;0;1353
1639;FCS;0;1271
182;FCU;0;1723
9363;FR2;-50;1249
166;H96;0;1385
180;HDH;0;1524
1316;HFC;0;1129
167;HOF;0;1628
175;HSV;0;1525
191;KIE;0;1380
192;KOE;0;1651
785;KSC;0;1416
164;M05;0;1656
786;M60;0;1213
187;MSV;0;1131
9347;OLD;0;1045
1324;OSN;0;1304
173;RBL;0;1825
177;REG;0;1292
1321;ROS;0;1335
1621;RWE;0;1079
174;S04;0;1536
160;SCF;0;1744
185;SCP;0;1473
4265;SCV;0;1138
183;SGD;0;1292
169;SGE;0;1694
178;SGF;0;1382
186;STP;0;1519
172;STU;0;1603
1318;SVM;0;1093
189;SVS;0;1265
4268;SVW;0;1169
1620;VIK;0;1181
161;WOB;0;1713
1319;WW;0;1247
1315;ZWI;0;1058
1625;LUE;0;1046
1652;ULM;0;1046
1313;PMS;0;1046
1314;UNT;0;1046
