TeamID;ShortText;Promotion;InitialELO
157;FCB;0;1945
158;F95;0;1471
159;BSC;0;1510
160;SCF;0;1744
161;WOB;0;1713
162;BRE;0;1547
163;BMG;0;1646
164;M05;0;1656
165;BVB;0;1885
166;H96;0;1385
167;HOF;0;1628
168;B04;0;1765
169;SGE;0;1694
170;FCA;0;1560
171;FCN;0;1353
172;STU;0;1603
173;RBL;0;1825
174;S04;0;1536
175;HSV;0;1525
176;BOC;0;1546
177;REG;0;1292
178;SGF;0;1382
179;FCM;0;1351
180;HDH;0;1524
181;D98;0;1521
182;FCU;0;1723
183;SGD;0;1292
184;FCI;0;1154
185;SCP;0;1473
186;STP;0;1519
188;DSC;0;1412
189;SVS;0;1265
190;AUE;0;1133
191;KIE;0;1380
192;KOE;0;1651
744;EBS;0;1313
745;FCK;0;1355
785;KSC;0;1416
786;M60;0;1213
1313;PMS;0;1046
1314;UNT;0;1046
1319;WW;0;1247
1320;FCE;0;1046
1321;ROS;0;1335
1324;OSN;0;1304
1620;VIK;0;1181
1621;RWE;0;1079
1639;FCS;0;1271
1652;ULM;0;1046
1660;ELV;0;1226
4259;AAC;0;1046
4265;SCV;0;1138
4268;SVW;0;1169
9341;H92;-50;1046
9367;DO2;-50;1138
12867;ST2;-50;1046
