TeamID;ShortText;Promotion;InitialELO;League;Region;Name
157;FCB;0;2057.25650898366;78;Bayern;Bayern München
165;BVB;0;1876.14499515202;78;West;Borussia Dortmund
168;B04;0;1839.94585962243;78;West;Bayer Leverkusen
172;VFB;0;1805.06498124536;78;SuedWest;VfB Stuttgart
173;RBL;0;1787.11847101298;78;Nordost;RB Leipzig
167;TSG;0;1708.8722858909;78;SuedWest;1899 Hoffenheim
169;SGE;0;1687.38388474488;78;SuedWest;Eintracht Frankfurt
160;SCF;0;1686.14918500265;78;SuedWest;SC Freiburg
164;M05;0;1677.86379526869;78;SuedWest;FSV Mainz 05
163;BMG;0;1630.3226687518;78;West;Borussia Mönchengladbach
170;FCA;0;1627.54581392229;78;Bayern;FC Augsburg
182;FCU;0;1602.15190765595;78;Nordost;Union Berlin
162;SVW;0;1586.02173855254;78;Nord;Werder Bremen
175;HSV;0;1582.07103142611;78;Nord;Hamburger SV
192;KOE;0;1536.21887947619;78;West;1. FC Köln
185;SCP;0;1490.80163374793;78;West;SC Paderborn 07
1660;ELV;0;1486.21849371069;78;SuedWest;SV Elversberg
174;S04;0;1479.87820846198;78;West;FC Schalke 04
161;WOB;0;1575.11146938928;79;Nord;VfL Wolfsburg
180;FCH;0;1517.9647594722;79;SuedWest;1. FC Heidenheim
186;STP;0;1494.49609531628;79;Nord;FC St. Pauli
166;H96;0;1486.44624069989;79;Nord;Hannover 96
176;BOC;0;1431.65051578751;79;West;VfL Bochum
159;BSC;0;1408.88579762256;79;Nordost;Hertha BSC
191;KSV;0;1406.12566087473;79;Nord;Holstein Kiel
181;SVD;0;1404.22614208007;79;SuedWest;SV Darmstadt 98
745;FCK;0;1401.28510052942;79;SuedWest;1. FC Kaiserslautern
171;FCN;0;1400.5119860812;79;Bayern;1. FC Nürnberg
179;FCM;0;1377.85389999423;79;Nordost;1. FC Magdeburg
785;KSC;0;1377.23751093567;79;SuedWest;Karlsruher SC
183;SGD;0;1359.48553854359;79;Nordost;Dynamo Dresden
188;DSC;0;1359.08593081528;79;West;Arminia Bielefeld
178;SGF;0;1319.28923385614;79;Bayern;SpVgg Greuther Fürth
1324;OSN;0;1317.61640313603;79;Nord;VfL Osnabrück
744;EBS;0;1314.18554318866;79;Nord;Eintracht Braunschweig
1320;FCE;0;1265.44507776935;79;Nordost;Energie Cottbus
158;F95;0;1343.56801237841;80;West;Fortuna Düsseldorf
1321;FCH;0;1279.08844885536;80;Nordost;Hansa Rostock
1313;SCPM;0;1269.21179494942;80;West;Preußen Münster
4259;AAC;0;1264.47534713104;80;West;Alemannia Aachen
4265;SCV;0;1257.45830000891;80;West;Verl
1621;RWE;0;1244.97238208582;80;West;Rot-Weiß Essen
187;MSV;0;1216.61913726976;80;West;MSV Duisburg
184;FCI;0;1187.64436873435;80;Bayern;FC Ingolstadt 04
177;SSV;0;1160.40603589523;80;Bayern;SSV Jahn Regensburg
1319;WIE;0;1155.25911770662;80;SuedWest;SV Wehen
1639;FCS;0;1154.39492876846;80;SuedWest;FC Saarbrücken
1620;FCV;0;1154.17351299122;80;West;FC Viktoria Köln
4268;WMA;0;1120.06724948249;80;SuedWest;Waldhof Mannheim
12867;VFB2;-50;1102.12032168525;80;SuedWest;Stuttgart II
9364;TSG2;-50;1068.88686733734;80;SuedWest;Hoffenheim II
9342;HAV;0;1048.46449511782;80;Nord;Havelse
784;FWK;0;1043.14657721819;80;Bayern;Würzburger Kickers
1317;SGS;0;1043.14657721819;80;SuedWest;SG Sonnenhof Grossaspach
1318;SVM;0;1043.14657721819;80;Nord;SV Meppen
1326;SFK;0;1043.14657721819;80;West;Fortuna Köln
1860;FCB;0;2375.71909819693;82;;Bayern Munich W
1863;WOB;0;2169.53157970088;82;;VfL Wolfsburg W
14014;SGE;0;1981.23079865206;82;;Eintracht Frankfurt W
