"datei_alt","einheit_source","test_that_titel","zeile_von","zeile_bis","funktionen","einheit_vorschlag","ziel_final","bemerkung"
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung: Form -- Laenge 2 * max_tore + 1, Namen -max_tore..max_tore",233,245,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung stimmt mit der Skellam-Dichte ueberein (lambda 1 gegen 1)",247,264,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung stimmt mit der Skellam-Dichte ueberein (lambda 1.5 gegen 1.2)",266,284,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung: Spiegelung -- P_(a,b)(d) = P_(b,a)(-d)",286,295,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung ist die Antidiagonalsumme der Rust-score_matrix",297,317,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung summiert auf 1 bis auf einen Rest < 1e-9",319,342,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","tordifferenz_verteilung: lambda 0 auf einer Seite -- die Differenz ist die Poisson-Verteilung selbst",344,353,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","verlaengerung_lambda ist exakt lambda_90 / 3 -- Spielzeit-Proportionalitaet",357,366,"verlaengerung_lambda","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Symmetrie: gleiche Staerke -> Quote exakt 0.5, MIT Heimvorteil in beiden Spielen",379,401,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Symmetrie-Gegenprobe: Heimvorteil beidesmal fuer A ergaebe 0.548, nicht 0.5",403,419,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Symmetrie ohne Heimvorteil: alle Raten gleich -> exakt 0.5",421,428,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Summe zu 1: quote aus Sicht von A + quote aus Sicht von B == 1",430,450,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Monotonie: hoehere Raten fuer A -> hoehere Quote, streng monoton",452,474,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Wert: die Raten von 1600 gegen 1400 -> 0.741839833112276",478,492,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Werte: die Implementierung stimmt ueber ein Raten-Gitter mit dem Orakel ueberein",494,511,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
